Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Technical Specifications (product.metafields.custom.technical_specifications),Package Contents (product.metafields.custom.package_contents),Compatibility (product.metafields.custom.compatibility),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Sony FX3 Full-Frame Cinema Line Camera (Body),sony-fx3-full-frame-cinema-line-camera-body,"An authentic professional Cinema Line camera from Sony featuring a 10.2MP Back-Illuminated Full-Frame Exmor R CMOS sensor, 15+ stops of dynamic range, and 4K 120p 10-bit 4:2:2 All-Intra recording. Engineered with an active cooling fan for uninterrupted takes, 5-axis in-body image stabilization (IBIS) with Active Mode, and an ergonomic cage-free body with a detachable XLR top handle unit for dual XLR audio capture.",Sony,Electronics > Video > Video Cameras,Cameras & Optics,"sony, cinema line, fx3, full-frame, 4k 120p, e-mount, featured",TRUE,Active,ILME-FX3-XLRKIT,,Package Edition,Standard Kit with XLR Handle,,,,,,,,94990000,101990000,82000000,TRUE,,,,,,shopify,8,DENY,715,g,TRUE,manual,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,1,Sony FX3 Full-Frame Cinema Line Camera (Body),,FALSE,Sony FX3 Full-Frame Cinema Line Camera (Body),Sony FX3 Full-Frame Cinema Line Camera (Body) - Authentic Sony Cinema & Creator Gear,10.2MP Full-Frame BSI Exmor R CMOS Sensor | Dual Base ISO 800/12800 | 4K 120p 10-bit 4:2:2 All-Intra | S-Cinetone & S-Log3 15+ Stops Dynamic Range | Active Internal Cooling Fan | 5-Axis IBIS with Active Mode | Dual CFexpress Type A / SD Slots,"1x Sony FX3 Camera Body, 1x XLR Handle Unit with Microphone Holder, 1x NP-FZ100 Rechargeable Battery, 1x BC-QZ1 Battery Charger, 1x Body Cap, 1x Handle Shoe Cap, 1x USB-A to USB-C Cable.",Sony E-Mount (Full-Frame & APS-C lenses in crop mode).,,,,ILME-FX3-XLRKIT,,,New,FALSE,Sony,Cameras & Optics,,,
,sony-fx3-full-frame-cinema-line-camera-body,,,,,,,,ILME-FX3-BODY,,,Body Only (Without Handle),,,,,,,,84990000,89990000,73000000,TRUE,,,,,,shopify,5,DENY,640,g,TRUE,manual,,,,,,,,,,,,,,ILME-FX3-BODY,,,,,,,,,
Sony FE 24-70mm F2.8 GM II Lens,sony-fe-24-70mm-f28-gm-ii-lens,"The world's lightest F2.8 standard zoom lens (SEL2470GM2) from Sony G Master series. Packed with four XD Linear Motors for lightning-fast tracking, advanced optical construction including two XA and two Super ED elements, Nano AR Coating II, and a de-clickable aperture ring. Designed for professional hybrid shooters demanding maximum optical clarity and silent autofocus.",Sony,Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Accessories > Camera Lenses,Cameras & Optics,"sony, g master, gm ii, 24-70mm, f2.8, e-mount, lens, featured",TRUE,Active,SEL2470GM2,,Lens Edition,Standard Retail Pack,,,,,,,,49990000,53990000,42000000,TRUE,,,,,,shopify,15,DENY,695,g,TRUE,manual,https://images.unsplash.com/photo-1606978436034-e758784d2f09?w=800&auto=format&fit=crop&q=80,1,Sony FE 24-70mm F2.8 GM II Lens,,FALSE,Sony FE 24-70mm F2.8 GM II Lens,Sony FE 24-70mm F2.8 GM II Lens - Authentic Sony Cinema & Creator Gear,Focal Length: 24-70mm | Constant Maximum Aperture: F2.8 - F22 | 4x XD Linear Autofocus Motors | 2 XA & 2 Super ED Glass Elements | 11-Blade Circular Aperture | Filter Diameter: 82mm | Weight: 695g | Weather-Sealed Dust/Moisture Resistance,"1x Sony FE 24-70mm F2.8 GM II Lens, 1x ALC-SH168 Lens Hood with Filter Window, 1x ALC-F82S 82mm Front Lens Cap, 1x ALC-R1EM Rear Lens Cap, 1x Padded Carrying Case with Strap.",Sony E-Mount (Full-Frame and APS-C bodies).,,,,SEL2470GM2,,,New,FALSE,Sony,Cameras & Optics,,,
Sigma 85mm F1.4 DG DN Art Lens for Sony E,sigma-85mm-f14-dg-dn-art-lens-for-sony-e,"A benchmark portrait prime lens from Sigma's Art line re-engineered exclusively for Sony E-mount mirrorless systems. Features 5 SLD elements and 1 aspherical element, an 11-blade rounded diaphragm for creamy optical bokeh, an aperture ring with click/de-click switch, and a customizable AFL button fully integrated with Sony camera firmware.",Sigma,Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Accessories > Camera Lenses,Cameras & Optics,"sigma, art, 85mm, f1.4, portrait, sony e-mount, lens, featured",TRUE,Active,SIGMA-85F14-SONYE,,Lens Edition,Standard Retail Pack,,,,,,,,23490000,25500000,19000000,TRUE,,,,,,shopify,20,DENY,630,g,TRUE,manual,https://images.unsplash.com/photo-1617005082133-548c4dd27f35?w=800&auto=format&fit=crop&q=80,1,Sigma 85mm F1.4 DG DN Art Lens for Sony E,,FALSE,Sigma 85mm F1.4 DG DN Art Lens for Sony E,Sigma 85mm F1.4 DG DN Art Lens for Sony E - Authentic Sony Cinema & Creator Gear,Focal Length: 85mm | Maximum Aperture: F1.4 - F16 | High-Speed Stepping AF Motor | 5 SLD & 1 Aspherical Element | 11-Blade Rounded Diaphragm | Filter Diameter: 77mm | Weight: 630g | De-Clickable Aperture Ring & AFL Button,"1x Sigma 85mm F1.4 DG DN Art Lens (Sony E), 1x LH828-02 Petal Lens Hood with Lock, 1x LCF-77mm Front Cap, 1x LCR II Rear Cap, 1x Padded Lens Case.","Native Sony E-Mount (Full-Frame and APS-C). Fully supports Sony Fast Hybrid AF, Real-Time Eye AF, and In-Camera Aberration Correction.",,,,SIGMA-85F14-SONYE,,,New,FALSE,Sigma,Cameras & Optics,,,
Tamron 28-75mm F2.8 Di III VXD G2 for Sony E,tamron-28-75mm-f28-di-iii-vxd-g2-for-sony-e,"The acclaimed second-generation (Model A063) fast standard zoom lens from Tamron for Sony E-mount. Equipped with Tamron's VXD linear motor focus mechanism for rapid and precise autofocus, a minimum object distance of 0.18m for wide macro perspectives, and a built-in USB-C port compatible with Tamron Lens Utility software for custom focus ring tuning.",Tamron,Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Accessories > Camera Lenses,Cameras & Optics,"tamron, g2, 28-75mm, f2.8, vxd, zoom, sony e-mount, lens",TRUE,Active,TAMRON-2875G2-SONYE,,Lens Edition,Standard Retail Pack,,,,,,,,19990000,21900000,16000000,TRUE,,,,,,shopify,25,DENY,540,g,TRUE,manual,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=800&auto=format&fit=crop&q=80,1,Tamron 28-75mm F2.8 Di III VXD G2 for Sony E,,FALSE,Tamron 28-75mm F2.8 Di III VXD G2 for Sony E,Tamron 28-75mm F2.8 Di III VXD G2 for Sony E - Authentic Sony Cinema & Creator Gear,Focal Range: 28-75mm | Constant F2.8 Aperture | VXD Linear Motor Autofocus Mechanism | Minimum Focus Distance: 0.18m (Wide) / 0.38m (Tele) | Tamron Lens Utility Connector Port (USB-C) | Filter Size: 67mm | Weight: 540g,"1x Tamron 28-75mm F2.8 Di III VXD G2 Lens (Sony E), 1x Flower-Shaped Lens Hood, 1x Front Lens Cap (67mm), 1x Rear Lens Cap.","Native Sony E-Mount (Full-Frame & APS-C). Supports Sony Fast Hybrid AF, Eye AF, and Direct Manual Focus (DMF).",,,,TAMRON-2875G2-SONYE,,,New,FALSE,Tamron,Cameras & Optics,,,
Sony ECM-B1M Digital Shotgun Microphone,sony-ecm-b1m-digital-shotgun-microphone,"An authentic Sony shotgun microphone equipped with 8 high-performance mic capsules and advanced beamforming digital signal processing. Connects via Sony's proprietary Multi-Interface (MI) Shoe for direct cable-free and battery-free digital audio transfer. Offers three switchable directivity patterns (Super-directional, Unidirectional, Omnidirectional) and internal noise-cut filters.",Sony,Electronics > Audio > Audio Components > Microphones,Lighting & Audio,"sony, microphone, shotgun, ecm-b1m, mi-shoe, digital-audio, featured",TRUE,Active,ECM-B1M,,Edition,Standard Pack with Windscreen,,,,,,,,8490000,9290000,6800000,TRUE,,,,,,shopify,30,DENY,77,g,TRUE,manual,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800&auto=format&fit=crop&q=80,1,Sony ECM-B1M Digital Shotgun Microphone,,FALSE,Sony ECM-B1M Digital Shotgun Microphone,Sony ECM-B1M Digital Shotgun Microphone - Authentic Sony Cinema & Creator Gear,"8 High-Performance Mic Capsules with Beamforming DSP | 3 Directivity Patterns (Super-Directional, Uni, Omni) | Cable-Free & Battery-Free via Sony MI Shoe | Digital Audio Interface Support | Low-Cut & Noise-Cut Acoustic Filters | Weight: 77.3g","1x Sony ECM-B1M Shotgun Microphone, 1x Furry Windscreen, 1x Connector Protect Cap, 1x Dedicated Carrying Pouch.","Sony Multi-Interface (MI) Shoe. Delivers direct digital 24-bit audio to Sony FX3, FX30, A7 IV, A7S III, A7R V, A1, ZV-E1.",,,,ECM-B1M,,,New,FALSE,Sony,Lighting & Audio,,,
Godox V1-S Round Head Flash for Sony,godox-v1-s-round-head-flash-for-sony,"A professional 76Ws on-camera flash engineered specifically with a dedicated Sony Multi-Interface (MI) foot. Its round fresnel flash head produces smooth, circular light falloff reminiscent of studio strobes. Fully compatible with Sony TTL, 1/8000s High-Speed Sync (HSS), magnetic AK-R1 light modifiers, and powered by a 2600mAh Li-ion battery supporting 480 full-power pops with 1.5s recycle time.",Godox,Cameras & Optics > Photography > Lighting & Studio > Flashes & Camera Lights,Lighting & Audio,"godox, flash, v1-s, speedlight, round-head, sony mi-shoe",TRUE,Active,GODOX-V1S-STD,,Kit Option,Standard Flash Kit,,,,,,,,4990000,5600000,3800000,TRUE,,,,,,shopify,25,DENY,530,g,TRUE,manual,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=800&auto=format&fit=crop&q=80,1,Godox V1-S Round Head Flash for Sony,,FALSE,Godox V1-S Round Head Flash for Sony,Godox V1-S Round Head Flash for Sony - Authentic Sony Cinema & Creator Gear,"Output Power: 76Ws | Round Fresnel Head with Magnetic Modifier Port | Sony TTL & 1/8000s HSS Support | 7.2V 2600mAh Li-ion Battery (480 Full Flashes, 1.5s Recycle) | Built-in Godox 2.4G Wireless X System | 10-Level LED Modeling Lamp","1x Godox V1-S Flash for Sony, 1x VB26 Li-ion Battery, 1x USB Battery Charger & USB-C Cable, 1x Mini Stand, 1x Protective Zipper Pouch.","Sony Multi-Interface (MI) Hot Shoe. Compatible with Sony A7 Series, A9, A1, A6000 Series, FX3.",,,,GODOX-V1S-STD,,,New,FALSE,Godox,Lighting & Audio,,,
,godox-v1-s-round-head-flash-for-sony,,,,,,,,GODOX-V1S-AKR1,,,Flash + AK-R1 Magnetic Accessory Kit,,,,,,,,6190000,6990000,4800000,TRUE,,,,,,shopify,15,DENY,850,g,TRUE,manual,,,,,,,,,,,,,,GODOX-V1S-AKR1,,,,,,,,,
DJI Mic 2 Wireless Microphone System,dji-mic-2-wireless-microphone-system,"DJI's flagship dual-channel wireless microphone system featuring 32-bit float on-board internal recording, intelligent AI noise cancellation, and a 250m transmission range. Connects seamlessly to Sony cameras via 3.5mm TRS or direct digital receiver shoe, delivering 18 hours of total operating time with the high-capacity charging case.",DJI,Electronics > Audio > Audio Components > Microphones,Lighting & Audio,"dji, mic 2, wireless microphone, 32-bit float, noise cancelling, sony compatible, featured",TRUE,Active,DJI-MIC2-2TX1RX-BLK,,Case Color,Shadow Black,,,,,,,,8490000,9490000,6800000,TRUE,,,,,,shopify,35,DENY,260,g,TRUE,manual,https://images.unsplash.com/photo-1550684848-fac1c5b4e853?w=800&auto=format&fit=crop&q=80,1,DJI Mic 2 Wireless Microphone System,,FALSE,DJI Mic 2 Wireless Microphone System,DJI Mic 2 Wireless Microphone System - Authentic Sony Cinema & Creator Gear,"Dual-Channel 2.4GHz Digital & Bluetooth Transmission | 32-bit Float Internal Recording (8GB per TX / 14 hrs) | Intelligent AI Noise Cancelling | 250m Transmission Range | 18h Battery Life with Charging Case | 1.1"" OLED Touchscreen with Dial Control","2x DJI Mic 2 Transmitters (Shadow Black), 1x DJI Mic 2 Receiver, 1x Mobile Phone Adapters (Type-C & Lightning), 1x 3.5mm TRS Camera Cable, 2x Furry Windscreens, 2x Magnetic Clips, 1x Charging Case, 1x Carrying Pouch.",Universal 3.5mm TRS input for all Sony Alpha / Cinema cameras; direct USB-C/Lightning for smartphones; supports Sony MI shoe via optional active adapter.,,,,DJI-MIC2-2TX1RX-BLK,,,New,FALSE,DJI,Lighting & Audio,,,
,dji-mic-2-wireless-microphone-system,,,,,,,,DJI-MIC2-2TX1RX-WHT,,,Pearl White,,,,,,,,8490000,9490000,6800000,TRUE,,,,,,shopify,20,DENY,260,g,TRUE,manual,,,,,,,,,,,,,,DJI-MIC2-2TX1RX-WHT,,,,,,,,,
