Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Technical Specifications (product.metafields.custom.technical_specifications),Package Contents (product.metafields.custom.package_contents),Compatibility (product.metafields.custom.compatibility),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
LimiLumix FX6 Cinema Camera (Body),limilumix-fx6-cinema-camera-body,"A professional Full-Frame cinema camera featuring a 10.2MP Back-Illuminated CMOS sensor, 15+ stops of dynamic range, and high-frame-rate recording up to 4K 120fps 10-bit 4:2:2 DCI. Equipped with a revolutionary Electronic Variable ND filter and an active internal cooling system engineered for uninterrupted recording on grueling production shoots.",LimiOptics Cinema,Electronics > Video > Video Cameras,Cameras & Optics,"camera, cinema, 4k, full-frame, featured",TRUE,Active,CAM-FX6-EMOUNT,,Mount Option,Sony E-Mount,,,,,,,,79900000,88000000,60000000,TRUE,,,,,,shopify,10,DENY,890,g,TRUE,manual,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,1,LimiLumix FX6 Cinema Camera (Body),,FALSE,LimiLumix FX6 Cinema Camera (Body),LimiLumix FX6 Cinema Camera (Body) - Professional Cinema & Media Gear,Full-Frame 35mm BSI CMOS 10.2MP | Dual Base ISO 800/12800 | 4K 120p DCI & QFHD | 16-bit RAW SDI Output | Electronic Variable ND 1/4 to 1/128 | Fast Hybrid AF with Real-Time Eye AF,"1x FX6 Cinema Camera Body, 1x Top Handle with Dual XLR Audio Inputs, 1x 3.5"" LCD Viewfinder Monitor, 1x BP-U35 Rechargeable Lithium-Ion Battery, 1x BC-CU1 Battery Charger, 1x Body Cap.",Native Sony E-Mount; supports PL and EF cinema mounts via active adapters.,,,,,,,New,FALSE,,,,,
,limilumix-fx6-cinema-camera-body,,,,,,,,CAM-FX6-PLKIT,,,PL-Mount Adapter Kit,,,,,,,,84900000,93000000,64000000,TRUE,,,,,,shopify,8,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,
LimiPrime 50mm T1.5 Cine Prime Lens,limiprime-50mm-t15-cine-prime-lens,A cinema prime lens with a fast T1.5 aperture offering complete Full-Frame sensor coverage. Engineered with low-dispersion ED glass elements to eliminate chromatic aberrations and minimize focus breathing during critical focus racks.,LimiOptics Cinema,Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Accessories > Camera Lenses,Cameras & Optics,"lens, cine, prime, 50mm, fast-aperture",TRUE,Active,LNS-50T15-SONYE,,Lens Mount,Sony E-Mount,,,,,,,,18500000,21000000,13000000,TRUE,,,,,,shopify,15,DENY,680,g,TRUE,manual,https://images.unsplash.com/photo-1617005082133-548c4dd27f35?w=800&auto=format&fit=crop&q=80,1,LimiPrime 50mm T1.5 Cine Prime Lens,,FALSE,LimiPrime 50mm T1.5 Cine Prime Lens,LimiPrime 50mm T1.5 Cine Prime Lens - Professional Cinema & Media Gear,Focal Length: 50mm | Maximum Aperture: T1.5 - T22 | 270° Focus Ring Rotation with 0.8 MOD Cine Gears | 14 Rounded Aperture Blades | Front Diameter: 77mm | Weight: 680g,"1x 50mm T1.5 Cine Prime Lens, 1x Machined Aluminum Lens Hood, 1x Front Protective Lens Cap, 1x Rear Lens Cap, 1x High-Density Protective Carrying Case.","Covers Full-Frame, VistaVision, and Super 35 sensor formats across selected camera mounts.",,,,,,,New,FALSE,,,,,
,limiprime-50mm-t15-cine-prime-lens,,,,,,,,LNS-50T15-CANONRF,,,Canon RF-Mount,,,,,,,,18500000,21000000,13000000,TRUE,,,,,,shopify,12,DENY,680,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,
,limiprime-50mm-t15-cine-prime-lens,,,,,,,,LNS-50T15-NIKONZ,,,Nikon Z-Mount,,,,,,,,18500000,21000000,13000000,TRUE,,,,,,shopify,10,DENY,680,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,
LimiZoom 24-70mm F2.8 Constant Zoom Lens,limizoom-24-70mm-f28-constant-zoom-lens,"An optical zoom workhorse boasting a constant F2.8 aperture across the entire 24mm wide-angle to 70mm portrait range. Features dual linear autofocus motors for silent, instantaneous tracking and built-in 5-axis optical image stabilization for handheld video capture.",LimiOptics Photo,Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Accessories > Camera Lenses,Cameras & Optics,"lens, zoom, 24-70, f2.8, versatility, featured",TRUE,Active,LNS-2470F28-SONYE,,Lens Mount,Sony E-Mount,,,,,,,,26900000,29500000,19000000,TRUE,,,,,,shopify,20,DENY,695,g,TRUE,manual,https://images.unsplash.com/photo-1606978436034-e758784d2f09?w=800&auto=format&fit=crop&q=80,1,LimiZoom 24-70mm F2.8 Constant Zoom Lens,,FALSE,LimiZoom 24-70mm F2.8 Constant Zoom Lens,LimiZoom 24-70mm F2.8 Constant Zoom Lens - Professional Cinema & Media Gear,Focal Range: 24-70mm | Constant F2.8 Aperture | 18 Elements in 13 Groups (3 XA Aspherical Elements) | IP53 Weather-Sealed Construction | Filter Thread: 82mm | Weight: 695g,"1x 24-70mm F2.8 Zoom Lens, 1x Petal-Shaped Anti-Glare Lens Hood, 1x Front Lens Cap, 1x Rear Lens Cap, 1x Padded Velvet Lens Pouch.",Full-Frame and APS-C mirrorless cameras with Sony E or Canon RF mount.,,,,,,,New,FALSE,,,,,
,limizoom-24-70mm-f28-constant-zoom-lens,,,,,,,,LNS-2470F28-CANONRF,,,Canon RF-Mount,,,,,,,,26900000,29500000,19000000,TRUE,,,,,,shopify,18,DENY,695,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,
LimiRetro 40MP Rangefinder Mirrorless Camera,limiretro-40mp-rangefinder-mirrorless-camera,"A street-photography rangefinder crafted with a die-cast magnesium alloy chassis. Houses a high-resolution 40.2MP back-illuminated sensor, 20 signature cinematic film simulation modes, and an ultra-fast 1/8000s mechanical shutter for capturing decisive moments.",LimiOptics Photo,Cameras & Optics > Cameras > Digital Cameras,Cameras & Optics,"camera, street-photography, mirrorless, vintage, 40mp",TRUE,Active,CAM-RF40-SILVER,,Body Color,Classic Silver,,,,,,,,38500000,42000000,27000000,TRUE,,,,,,shopify,12,DENY,520,g,TRUE,manual,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=800&auto=format&fit=crop&q=80,1,LimiRetro 40MP Rangefinder Mirrorless Camera,,FALSE,LimiRetro 40MP Rangefinder Mirrorless Camera,LimiRetro 40MP Rangefinder Mirrorless Camera - Professional Cinema & Media Gear,40.2MP BSI APS-C Sensor | ISO Range: 125-12800 | Hybrid Optical/Electronic Viewfinder (3.69M dots) | 180° Tilting Touchscreen | 6.2K 30p 10-bit Video Recording,"1x Rangefinder Camera Body, 1x NP-W126S Li-Ion Rechargeable Battery, 1x Handcrafted Genuine Leather Wrist Strap, 1x Metal Hot Shoe Cover, 1x Braided USB-C Cable.",Native mirrorless lens mount; compatible with X-mount lenses and M-mount adapters.,,,,,,,New,FALSE,,,,,
,limiretro-40mp-rangefinder-mirrorless-camera,,,,,,,,CAM-RF40-BLACK,,,Stealth Black,,,,,,,,38500000,42000000,27000000,TRUE,,,,,,shopify,15,DENY,520,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,
LimiBeam 300W Bi-Color COB Studio Light,limibeam-300w-bi-color-cob-studio-light,A broadcast-standard 300W continuous COB LED light featuring an adjustable color temperature range from 2700K to 6500K with CRI 97+ and TLCI 98+ accuracy. Built with a universal Bowens mount and an ultra-silent cooling fan rated below 20dB for sound-sensitive studio stages.,LimiLighting Studio,Cameras & Optics > Photography > Lighting & Studio > Studio Lighting,Lighting & Audio,"lighting, led, cob, 300w, studio, bi-color, featured",TRUE,Active,LGT-BM300-REFLECTOR,,Kit Option,Standard Reflector Kit,,,,,,,,11500000,13200000,7500000,TRUE,,,,,,shopify,25,DENY,3200,g,TRUE,manual,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=800&auto=format&fit=crop&q=80,1,LimiBeam 300W Bi-Color COB Studio Light,,FALSE,LimiBeam 300W Bi-Color COB Studio Light,LimiBeam 300W Bi-Color COB Studio Light - Professional Cinema & Media Gear,"Power Draw: 300W | CCT: 2700K - 6500K Bi-Color | Output: 48,000 Lux @ 1m (with 55° hyper-reflector) | Control: Bluetooth App & DMX512 | CRI: 97+, TLCI: 98+","1x 300W COB Light Head, 1x All-in-One Control & Power Box, 1x 55° Standard Reflector, 1x 6m Heavy-Duty AC Power Cable, 1x Rolling Shockproof Hard Transport Case.","Universal Bowens S-Mount; compatible with all industry softboxes, beauty dishes, and fresnel attachments.",,,,,,,New,FALSE,,,,,
